Hash,Message,Parent Hashes,Is Merge Commit,Modified Files
78b660bb923ca5c990b8c163e61f582e4372a5f4,Fixed bug with creating image directories,['a28d13fc3e5f2791601eb111ff15f2b26a828b88'],False,['scene.py']
e6df91d03e7ae8b714684f1e42c9720367b3ffa2,Small bug fix to foreground mobject behavior during an animation,['78b660bb923ca5c990b8c163e61f582e4372a5f4'],False,['scene.py']
5f3c7749528aed8b637906188c2e9cc0724d8b8f,Fixed bug with how Brace gets created,['925e10396840ad968b8dda4a743c9001f575b0b3'],False,['tex_mobject.py']
3c86caa48830119983ec49e31c861c88a2ccc443,Fixed bug with MappingCamera set to allow_object_intrusion,['730c94461f7393c93b4505753e11a56995bbbd4f'],False,['camera.py']
932d056ff71c3c0505a6088fc0a7023780c7ac31,"Merge pull request #90 from 3b1b/mapping-camera-fix

Fixed bug with MappingCamera set to allow_object_intrusion","['730c94461f7393c93b4505753e11a56995bbbd4f', '3c86caa48830119983ec49e31c861c88a2ccc443']",True,[]
5718db026e2cdc23ada625bd0fc436c334d93ac0,bugfix: svg handling,['aa73cd65b1f7ed95a68e81f1476934d4b073bcdc'],False,['svg_mobject.py']
55a723a2848c8ea666f3bb40b4482ae77bf2e6a8,"Fixed bugs in Succession and AnimationGroup, and also created purely virtual Container class from which both Scene and MObject derive (conceptually unifying their remove/add methods)",['ad14222d1cd94c82ed83cdf3dd782109fd543831'],False,"['simple_animations.py', 'mobject.py', 'scene.py']"
10e76fd7d8e3def3cc594d1a300b1479d4b1b11d,"Merge pull request #94 from mirefek/master

Several simple bugfixes and features","['24328374daa9c061c2874c149f800a8462f44ca2', 'bc23fbc3426a536aebb4a412ad6994cf89daf958']",True,[]
c28b81a2307c032dd94f892cc86722766b355d8a,Fixed bug in set_background_by_color_function,['634b28c485c4408b4c48e3dd92bf5756985fad58'],False,['camera.py']
ad5ffc5fdcfce9dbed916a539225ab41abcc19d3,"debugged existing scenes, working on BackToEulerSum",['fa481a1cb870a92d6c77f531feb278f08805dea9'],False,"['basel.py', 'light.py']"
87b7635988715ac52057b0d2d949e4786156eee1,bug fix session with Grant,['ad5ffc5fdcfce9dbed916a539225ab41abcc19d3'],False,"['basel.py', 'mobject.py', 'light.py']"
2c4fa36073f1e9da1223046cd24fc788d2652b12,bug fixes in light. Finally working again!,['8e0c84946f78ec9053a72ea37a4dd0d9119bc9cd'],False,['light.py']
7871e557d2d5802806c72ab9b395e197e64ede8f,bug fixes,['4a11d8f42df09ac2860fce90aa2d50aa5fc2b103'],False,['light.py']
b4b47c8439e7a9c2935f37f93fe88536f2e47467,Fixed Succession bug which had resulted in incompletely drawn subanimations,['b06e8818f4116a42c9059c9af719a192fce10b15'],False,['simple_animations.py']
4982a44fb6e1dbd24a7afd6336dd43e13fa3b794,Fixed bug where nested AnimationGroups did not propagate configs correctly,['d509335210a0a228fe9c0072bab515d84ac0848c'],False,['simple_animations.py']
c2b9417c6a84a699e10150967751a334c7b95ca0,Fixed division by zero bug in alpha compositing,['652dab7f232eacc8040471ac4118ffd53f562e99'],False,"['camera.py', 'helpers.py']"
5e64508c40f0361059e682ef62f072aa93676ec2,"Merge pull request #133 from 3b1b/WindingNumber

Fixed division by zero bug in alpha compositing","['652dab7f232eacc8040471ac4118ffd53f562e99', 'c2b9417c6a84a699e10150967751a334c7b95ca0']",True,[]
9927f226453161431a8309cd53f5d33382208ab2,"Fixed small bug in Arc, where end and start were swapped in adding tips",['f7f359ffafd9e5cfcaa790892fec6597e88317b2'],False,['geometry.py']
01737a0c4df2748f2f6218262beb40a3930c8d57,workaround for CTEX bug,['b7e2646b47e71bd05611354f5193a470104c95ed'],False,"['template.tex', 'text_template.tex']"
c24f7b6926f0e3156009bfa34b60c3888271ee52,fixed pi creature color bug,['15d582e6730f7ef7e559431abdc568a9dd095e20'],False,['pi_creature.py']
d9fde5141afc3e438cdd55d1ae67cd294816f548,"Merge pull request #200 from 3b1b/patreon-animation

Fixed Pi Creature color bug","['39ba60c452553e8bac61d13989b1a085188ec548', 'c24f7b6926f0e3156009bfa34b60c3888271ee52']",True,[]
5f2aa31fc3759668457d0e56203b75e6a3a21cd1,import bug in SampleSpaceScene,['487f6747e1e94d5eb044b0c856de7fecbc134ccf'],False,['sample_space_scene.py']
43faec638e4f7aa944cf8e65521a72671f6f0f82,fix for copy bug (again),['e0ff0f2a9f46943b3e154fe9f07d9984f1782ff6'],False,['mobject.py']
cc05a896dd18bbac9d25d3cc577388a371f9a15d,Fixed TeacherStudentScene bug,['aa67913f1527b2f019f35be1b0867e04d44b3732'],False,['pi_creature_scene.py']
bb0595e3e77d2d130f6f260927741951403f9624,Small bug-fix to DashedLine to ensure get_end works right,['612f0d767432530f27c426a757d3bf9f32e13288'],False,['geometry.py']
76e0f9019e52f8675b7f7608ab7f59b36f9075e7,Tiny bug fix to Laptop,['c983b914771899b244046a1ddcfab520ee258698'],False,['drawings.py']
5f7810db832a2663c63ab8715a54e7dc6e483990,fixed unit color bug,['9c6bcd6653391418735af0394026f71fa8d4d895'],False,['numbers.py']
c3c6e72d386d80a9082d69094d031aec72a7f87b,bug fixes in Histogram,['5f7810db832a2663c63ab8715a54e7dc6e483990'],False,['histograms.py']
85808eb905c8e27151f06f81b72da6ae0242234d,bug in debugging method,['24276ff1f54e0efd3e67cecf780c279fe652776d'],False,"['chapter1.py', 'mobject.py']"
90504e24e7df4b525865b0bf3084e0788cf2bfdb,fixed bug for reduce_across_dim for mobs with empty submobs,['fb9ce5f518a880fc9b7acb0d9a648a4880941f86'],False,['mobject.py']
7ce5674126e48b72e44e6f38be507b09428eceb1,fixed bug for reduce_across_dimension for mobs with empty submobs,['fd002c13e6c310b0f2e90f6265825131750a7d37'],False,['mobject.py']
a982b3c1acdf200e90057d94d798704a515a4c41,Some bug fixes to ZoomedScene,['2981fa2b32f0b3827317efc75df56c0585c6c0f0'],False,"['moving_camera_scene.py', 'zoomed_scene.py']"
f0b8ae7647fcc50f09935fb8128b0fd3b27b9b32,"Refactoring and bug fixes to moving_camera, multi_camera, zoomed_scene mix",['2a74f3a687f629e1de793025accd029c093242f2'],False,"['moving_camera.py', 'multi_camera.py', 'moving_camera_scene.py', 'zoomed_scene.py']"
692a2dfd1ff121ce60946fec675412a062965d95,Fixed bug for multipled braces being imbalanced,['c3e173d2812a9a1fe7e7b81731627492689f6e41'],False,['tex_mobject.py']
60caf2312c84c0e010334e47c5187f3a3dd3a312,Quick fix to a bug where ImageMobjects of size zero weren't displayed,['6d032bd10f5c3414aec00e005261093ac43bb93d'],False,['camera.py']
f4022d6c750d6cb54dc9f9612695ed9f99939a70,Fixed small bug with FadeInAndShiftFromDirection,['61d5f6f75908e77f4acb9864e98e25a2a59dbbe0'],False,['creation.py']
fb08fc04011db183dac841e2df087ccbbc615a2c,Fixed bubble sort bug,['df5d45e5ae5a417dca8cb7d280cb1ad1e54b2aec'],False,"['drawings.py', 'vectorized_mobject.py', 'dandelin.py']"
e11611d48216230522df66cbce947d5285ba5b90,Fixed bugs assoiated with setting fill or stroke using None arguments,['693c98cea77721265ed8966b6eab51cbdf60f486'],False,['vectorized_mobject.py']
22d889f6dc6576bd2f3838f6ed699a7f71fdb600,Fixed some camera bugs,['e11611d48216230522df66cbce947d5285ba5b90'],False,"['camera.py', 'three_d_camera.py']"
3f6376af39597ce885d4171b16cb49095a586d48,Fixed MovingCamera bug where frame was not updated properly,['5b5a83b3162ee938c00fdba8f58753b8a594f1e3'],False,"['camera.py', 'moving_camera.py']"
3ba33d543e9443c339cc631844d0af9759b4f29e,Fixed some ThreeDCamera bugs,['b04bddf35b80e979f27fdac19757dbb10ab3750a'],False,"['camera.py', 'three_d_camera.py']"
32da0771995d491a8dfed403931232f820063c29,Fixed bug associated with ThreeDVMobject,['cba0c78cf76f15c5e1b50bc48e5095c893609b88'],False,['three_dimensions.py']
8103b723a83d3fb3dfd37a18804c7d97eb5aaced,Fixed bug with VMobject.close_new_points,['98a7f254ee57d0f0a34956f288eba35631da5ba6'],False,"['geometry.py', 'vectorized_mobject.py']"
98801413e9ad6bbb6e7a0c6eec7000adaace5eaf,Fixed camera bugs,['86bc9cdf72793d5f523826603f03ffb6cc332c86'],False,"['camera.py', 'three_d_camera.py']"
5fefa6f612ef7e723b1108d78df0784bcc3aa497,Small fixes to Scene bugs,['c3919d25abbd9abc152c2f148cb6550d583f4966'],False,"['scene.py', 'three_d_scene.py']"
2e64edcffe4225561acebda86fc6c4e74ad68a04,Temporary bug fix on DecimalNumber...not fully figured out,['94b1c9d3af46b937a6455510bd575d08f1d2c283'],False,['numbers.py']
289d822a9250f1b23524c2e8789bddeb65d6e3e7,Tiny bug fix,['9a8575401456910e387d650a2796b73848234524'],False,['numbers.py']
1ca7e8ecdab08a3cc65fa8d50e5b34d15105e4a3,Fixed TextMobject bug,['c2e42c4281a660410e797ee4d12f524fb72f7701'],False,"['tex_mobject.py', 'strings.py']"
81a906f6839b1fb16ca02665a4ab5d4eb10f0bc2,Fixed ImageMobject fade bug,['1ca7e8ecdab08a3cc65fa8d50e5b34d15105e4a3'],False,['image_mobject.py']
71d5851dd00904b8f4ce41bab3fd01236677b95a,Fixed frame_center bug,['73af2b49717a564158ad343be1ee408bf71f3bf0'],False,['three_d_camera.py']
426af6f7fce99f03c567d03011cff31cecb2d847,Tiny bug fix,['e8d2c714e5451cd782650125608ed5d16f1c0b3f'],False,['vectorized_mobject.py']
8077697fc710db71e4e71864c4c94fcbf80ccc12,Fix video output directory bug,['31478c523c9febb85d673219c6451ce545b5e319'],False,['output_directory_getters.py']
62b8a38bf51cd52a51a545dab55e917cd40a00f3,Fixed bug with Mobject family member updaters,['c95fb5fe46465840b1f64923a9f1d94737fc4514'],False,['scene.py']
d12e45aa17e1965c7692d35b154919cd961d6659,"Merge pull request #333 from icreiuheciijc/pr

Fix video output directory bug","['169c443e659c8021d3a8ae1855c0086eaa98515c', '7d5432ce8b98a309f9fbeea0995e9c03d2f1e875']",True,[]
eca8d77f83431f2260b7dc279d8bed6443ba0cbd,Small bug fix for starting_animation_number,['a5e25042e2e95a6d474cca6566fc15a2611a8842'],False,['scene_file_writer.py']
9619ebfd61c9818b5db829b1c56009c503c2c4e2,Fix ThreeDAxes bug,['b70e0a0c75eff3202089918cea8e638b26419536'],False,['coordinate_systems.py']
47555652e8ec0c94a7665b9761e06485c525f2fb,Fixed no animations bug,['5d5fdef748eba6d8e7bc53166df988dedd5f1a2d'],False,['scene_file_writer.py']
55081c75ef21e7c208ad96d9a1abfef11c93e86c,Fixed bugs in partial_bezier_points and integer_interpolate,['272c5f4deb471444e6f46cc45400c4f0766650d8'],False,['bezier.py']
16e8a76c6a767d49a0ae39e2b94db9e4cc3bf8ad,Whoops!  Previous fix had its own bug.  Now it's fixed.,['5ca93b3fe7642645f683405faac192748b7d89d0'],False,['frame.py']
47f6d6ba38d55d509bcee788ec310a90fb96237f,Rewrote ParametricFunction to have less buggy interpolation,['16e8a76c6a767d49a0ae39e2b94db9e4cc3bf8ad'],False,"['coordinate_systems.py', 'functions.py', 'vectorized_mobject.py', 'graph_scene.py', 'chapter3.py', 'chapter4.py', 'fourier.py', 'uncertainty.py']"
84b07bc347e72f1bfdb76a1580cfa6f1d0b0d69a,Fixed Polygon.round_corners bug,['2449f3a284297638b916615c27ee25f2a0f151b9'],False,['geometry.py']
72a8bd8cc11b4d56c2c3081ce74e53b838ea78e9,Fixed bug with VMobject.align_points,['28d627ba839b7a138a7ff797d42ca8b50b266879'],False,['vectorized_mobject.py']
1f320a39748574c13f7a5a6cbcb37f23820fb976,Fixed small bug with Camera not properly transforming points,['82f0afb4dd6fad96d91bcfcd936610ccf33980d7'],False,"['camera.py', 'three_d_camera.py']"
9f760632719d9492eaccf8f7428381de66813d93,Fix some bugs with VMobject.align_points,['8877a256f28dd572f04a176814c5597b7b4aa605'],False,['vectorized_mobject.py']
1735f16d6844ae4a5946877167f492b199a1545c,Fixed NumberLine bug,['86d3ade0ef356d02bc232e509ae12b5b08568331'],False,"['coordinate_systems.py', 'number_line.py']"
37164a640ea8a7f3be31b8e7b2d96986f276b5c6,Tiny bug fix to old_projects/clacks/question.py,['b2c7e83843f5de56f9bd5d84b721a435263e2256'],False,['question.py']
f4c2c4642a4f1e812a9c9d0b88ce9f52387b721f,Fix bug with applying function to VectorizedPoint,['e567fff8553730d12435b22607b008af4d81530d'],False,['vectorized_mobject.py']
d8896e299e8b200f8b2187236fe4e12fe9d59500,Small bug fixes to NumberPlane,['9cdf35475d4e0b1cb8bec727e0e4c24db6d4dfe2'],False,['coordinate_systems.py']
97c8ea273885476d821bd1ababe18f8253279563,Small bug fix to NumberLine,['43f214550834cdb93087dd3ebc4d65570b206417'],False,['number_line.py']
b0bbb1d07858a6dffcd4df7e5c57767638490086,"Merge pull request #475 from niyiyu2316/master

Fix bug for creating Matrix","['acde5252eaade39483de436d88d655e358ab4911', '2db1dff1cf8af0cab48dbee41fac57178f1e1283']",True,[]
f3048eb5741c2e41952bd160d1a4cd5764918194,Fixed bug with Bubble,['48f38b894031fe0ea31e2e1430151c10b2c480e4'],False,['drawings.py']
06f78bf28f5af7089a901e0f369c9ca73569dcb8,"conda environment bug fix with pyreadline package, closes #662",['49582c35919097585699598ad0ca49fe3f2117b5'],False,['environment.yml']
91580ed4a356541e01cacc41423d2724abb8c956,conda env bug fix- ffmpeg from conda,['06f78bf28f5af7089a901e0f369c9ca73569dcb8'],False,['environment.yml']
f0cff687aa74e6358b8580777623a803c9f7002e,"Merge pull request #663 from pranjaldhole/master

conda environment bug fix with pyreadline package, closes #662","['73fea6a1977498e50aeda0aeb7e59a6461ccf3e3', '91580ed4a356541e01cacc41423d2724abb8c956']",True,[]
f66d6e4f972852980645933087e1a11f72a06a01,"Added AddTextWordByWord, but it's not yet working, presumably because of some bug in Succession.",['67f3d1584cd1ecd32fccfa8d08ab59e93c0a924d'],False,['creation.py']
2afa079b6ae8ade19dbb166c0ece00f79657d4c1,"Merge pull request #780 from timgates42/bugfix/typo_installation

Fix simple typo: installtion -> installation","['637c48905a9b20859f86dac593cbf3195b127cef', 'b1b516e9c41d780342852ea2f2a86e3c57dc520d']",True,[]
84e7bdb2b1f41929dada735094eccc9fc2cdc65c,Added a couple helpful debugging functions,['b7cb9aa9382ba80317ad1fbcefe9c809e46055fb'],False,"['imports.py', 'debug.py']"
94a388388014c9521902ffab2da1635b9c783986,"Remove Mobject.print_family, as that is now in utils.debug",['84e7bdb2b1f41929dada735094eccc9fc2cdc65c'],False,['mobject.py']
1279f040dafa9292cd7e8b2fbdc6a464a574240c,"Temporarily adding input_file_path to SceneFileWrite config.  Not sure why this isn't there already, or if there are problems with setting a default, but it fixed a weird bug that had arisen",['0f71b0a408ccc8de9f29c5bb96f4e76840b3946b'],False,['scene_file_writer.py']
3362f93964cae6f610a47d2da0e076b51a9eab42,"Fix three bugs(shaders/stroke/size) of Text Class (text_mobject.py)  (#1030)

* fix: remove the last M tag in svg files to make Text run in shaders branch

* fix: close the svg path manually to fix the bug of wrong stroke

* fix: remove Space mobjects in Text to fix the bug of TransformText

* feat: make Text and TextMobject equal in size

* this will lead to more bugs of setting color, so I delete it",['af65c9d5d4ecbcffc5e569508053d56d1f7e86eb'],False,['text_mobject.py']
522a5b3c5f1830dea455625da513698d6ac27845,"Fix space characters problem of Text (#1035)

* Fix Text wrong display

* Fix space characters problem of Text

* Fix a potential bug using height or width in Text

* Update Text

* Fix typo in text_mobject.py",['3362f93964cae6f610a47d2da0e076b51a9eab42'],False,"['svg_mobject.py', 'text_mobject.py']"
92f6eb4ed92c00a92385223fe3273a5fa1caeb2d,"constants.py overhaul

-DIR variables have been moved into their own file to avoid overwriting user changes in the future (dirs.py)
-Initialization of directories has been moved to config.py, and a bunch of bugs associated to file structure generation have been fixed
-Global dir variable handling has been removed. Instead initialize_directories, if needed, overwrites the values from dirs.py at runtime
-Dirs are now only taken from dirs.py directly
-In constants.py high quality has gotten its own short argument (-e), and the quality argument explanations have been improved
-Deprecated media_dir.txt has been removed
-Deprecated if statements in scene_file_writer.py have been removed",['865c4c1499764160d1990bd08b24128ba32468cf'],False,"['__init__.py', 'config.py', 'constants.py', 'dirs.py', 'mobject.py', 'text_mobject.py', 'scene_file_writer.py', 'tex_file_writing.py']"
8955f34e71599a09a175511259d1cc55fc78aa76,debuging Travis,['572d8819d33458d69c925113f9479f5b02ea94f9'],False,['test_CLI.py']
5c2e085d495091518026c75f24f7124a8cc0331b,change loglevel to debug in order to see what is going on in Windows travis builds,['83f0b841347779d61724517b04cd9188a58157a3'],False,['scene_file_writer.py']
1fe45058e5c5a1e01e9fa05b9c7e29efcd8c6ad6,reverse debugging changes,['cc11fef1cbeaa58009fc15bf8777a05c5c5ed53a'],False,['scene_file_writer.py']
5eb9fed85dc16f790a84432375d854020a14e750,fixed minor bug (small shift of the grid),['a0db3c4a78bfd07c667817ebb5c607bebf81ed49'],False,['coordinate_systems.py']
b9b579366a68be810717b26a551b75c9ddddad43,fixed minor bug (wrong number of faded lines),['d7615a621ccfdfe8e4cf1f652eb3b79782abf7bd'],False,['coordinate_systems.py']
558502ca7633f1c8d4185f38fb155bd6dcf33954,"Fix a bug where only using `manim` as command would throw an error.

Set cfg write default value to None.

This means that if no argument is provided, the configwriter will ask for location.",['0ac65f3b9a1056418f3a974e1bbaf6974ce18ff4'],False,['config_utils.py']
7f2876991d64c436ae9bd4c72f3929d169c4501a,"Use file_writer_config instead of config to get text_dir for Text() (#220)

* Use file_writer_config instead if config for Text()

Fixes a bug where a keyerror would be thrown when rendering a Text() mobject.

* Make testing_utils.py use file_writer_config.

Thank you @huguesdevimeux !

Co-authored-by: Aathish Sivasubrahmanian <aathishs@Aathishs-MacBook-Air.local>",['f4c9c7a4299b01b3dfbcf662be1834534d43d987'],False,"['text_mobject.py', 'testing_utils.py']"
4468c85164fa1d9a45ff47fbbf55227deb16575f,"Fix bug where `cfg` is taken as a filename.
( Removes need for min_argvs)

Moved cfg subcommand initialisation to separate function.

Added some notes on how to add more subcommands.",['70c0d53a01ee6cd1da9a74c0338ed404f67b9123'],False,['config_utils.py']
61d5e46914a35efb84872b4cdc7d5fb0011f5a81,"Added Scene caching (#166)

* added caching functionnality

* deleted comments

* fixed wait bug

* added docstrings

* fixed minor typo in doc

* added cache cleaner

* added disable_caching option

* supported camera_config, and hashing functions

* use now digital naming when disable_caching

* added an option to flush the cache.

* fixed shameful typo

* added max_cached_files

* fixed merge issues

* added digital naming when disable_caching

* foxed skip_animations dlag that #98 broke

* removed cairo context from hash

* removed deprecated code

* fixed tests by setting write_to_movie to False

* removed useless code

* Revert ""Use file_writer_config instead of config to get text_dir for Text() (#220)""

This reverts commit 7f2876991d64c436ae9bd4c72f3929d169c4501a.

* Apply suggestions from code review

Thanks @pgsuper !

Co-authored-by: Pg Biel <9021226+PgBiel@users.noreply.github.com>

* fixed max_files_cached typo

* Use file_writer_config instead of config to get text_dir for Text() (#220)

* Use file_writer_config instead if config for Text()

Fixes a bug where a keyerror would be thrown when rendering a Text() mobject.

* Make testing_utils.py use file_writer_config.

Thank you @huguesdevimeux !

Co-authored-by: Aathish Sivasubrahmanian <aathishs@Aathishs-MacBook-Air.local>

* removed useless code

* used self.camera instead of __dict__

* Apply suggestions from code review

Thanks @pgsuper !

Co-authored-by: Pg Biel <9021226+PgBiel@users.noreply.github.com>

* more pythonic

* fixed bug related to dict keys

When a dict containing keys not of the right type it caused an error.

thanks to @Aatish04.

* fixed minor bufg of the last commit

* Now clean_cache can remove multiple files.

* fixed bug when rendering multiple scenes.

skp_animations was not reset to a default value. Appeared in #98

* fixed bug related to nested dict with wrong keys

See previous commit.

* added infinity support for max_file_cached

and changed default

* changed default value of max_files_cached to 100

* deleted comments

* fixed docstrings

* fixed format (maybe)

* fixed format

* fixed tests

* Update expected.txt

Fixes logging tests.

* fixed merge conflict

* fixed logging test

* fixed docstrings

* minor doc improvement

* Apply suggestions from code review

Thank you Captain Docs !

Co-authored-by: Pg Biel <9021226+PgBiel@users.noreply.github.com>

* Apply suggestions from code review

Co-authored-by: Pg Biel <9021226+PgBiel@users.noreply.github.com>

* fixed typo of the last commit -_-

Co-authored-by: Aathish <aathish04@gmail.com>
Co-authored-by: Aathish Sivasubrahmanian <aathishs@Aathishs-MacBook-Air.local>
Co-authored-by: Pg Biel <9021226+PgBiel@users.noreply.github.com>",['e9046409655d3afcd09c959e90f50712982d5345'],False,"['default.cfg', 'scene.py', 'scene_file_writer.py', 'config_utils.py', 'file_ops.py', 'hashing.py', 'conftest.py', 'test_cfg_subcmd.py', 'write_cfg_sbcmd_input.txt', 'expected.txt', 'test_logging.py', 'testing_utils.py', 'manim.cfg']"
3489ea75248980fae755ded70425c31c5a934394,"Merge pull request #296 from Aathish04/show_cfg_in_debug_only

Show read cfg files in DEBUG mode only; change default testing mode to DEBUG","['32de3b570c620ba05875917c3bf02b68c4a70ae0', '36495f4cd44c529ff8168aa2b4c8504b0aa1dbb9']",True,[]
06602b774bc2132a5e43683c5cc15cf469efc8b8,"Fixed bug that broke some Windows CLIs (#336)

In some Windows CLIs, the command 

`manim file.py ...`

will generate the argv

`C:\\path\\to\\manim.exe file.py ...`

This would cause _from_command_line() to misleadingly return False, which completely prevents users from calling manim from the CLI, as certain key fields like `input_file` would not be populated.",['68524936edd49e20e361928ecc8566903b877158'],False,['config_utils.py']
95ff9f89d6789129b50995b597b2722069a41d8b,"Rewrite contributing guide and add two troubleshooting soulutions (#384)

* Move bug report guide to own page, rewrite contributing guide, add a troubleshooting solution

* Apply suggestions from code review of contributing guide rewrite

Co-authored-by: Naveen M K <naveen@syrusdark.website>

* Change contributing guide to checkout master

Instead of saying how to checkout any branch, change contributing.md to say how to checkout the master branch specifically.

Co-authored-by: Naveen M K <naveen@syrusdark.website>",['16044c4c086a0f052d98072b89ff3a534592a26c'],False,"['contributing.md', 'index.rst', 'installation.rst', 'troubleshooting.rst', 'reporting_bugs.rst']"
